	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
121	2018-07-21 15:33:40	0	3	4	3.5
120	2018-07-21 15:33:39	0	3	1	2.0
119	2018-07-21 15:33:38	0	3	4	3.5
118	2018-07-21 15:33:38	0	3	2	2.5
117	2018-07-21 15:33:37	0	3	4	3.5
116	2018-07-21 15:33:37	0	3	4	3.5
115	2018-07-21 15:33:36	0	3	4	3.5
114	2018-07-21 15:33:35	0	3	1	2.0
113	2018-07-21 15:33:35	0	3	4	3.5
112	2018-07-21 15:33:34	0	3	1	2.0
111	2018-07-21 15:33:33	0	4	3	3.5
110	2018-07-21 15:33:33	0	3	4	3.5
109	2018-07-21 15:33:32	0	0	3	1.5
108	2018-07-21 15:33:32	0	0	3	1.5
107	2018-07-21 15:33:31	0	3	2	2.5
106	2018-07-21 15:33:30	0	3	4	3.5
105	2018-07-21 15:33:30	0	0	2	1.0
104	2018-07-21 15:33:29	0	3	1	2.0
103	2018-07-21 15:33:29	0	3	4	3.5
102	2018-07-21 15:33:28	0	3	2	2.5
101	2018-07-21 15:33:28	0	3	2	2.5
100	2018-07-21 15:33:27	0	3	1	2.0
99	2018-07-21 15:33:26	0	3	2	2.5
98	2018-07-21 15:33:26	0	3	2	2.5
97	2018-07-21 15:33:25	0	3	1	2.0
96	2018-07-21 15:33:24	0	0	3	1.5
95	2018-07-21 15:33:24	0	0	3	1.5
94	2018-07-21 15:33:23	0	3	4	3.5
93	2018-07-21 15:33:22	0	3	4	3.5
92	2018-07-21 15:33:21	0	3	2	2.5
91	2018-07-21 15:33:21	0	3	1	2.0
90	2018-07-21 15:33:20	0	0	3	1.5
89	2018-07-21 15:33:20	0	3	2	2.5
88	2018-07-21 15:33:19	0	0	4	2.0
87	2018-07-21 15:33:18	0	3	2	2.5
86	2018-07-21 15:33:18	0	3	2	2.5
85	2018-07-21 15:33:17	0	3	4	3.5
84	2018-07-21 15:33:17	0	3	4	3.5
83	2018-07-21 15:33:16	0	3	4	3.5
82	2018-07-21 15:33:15	0	3	2	2.5
81	2018-07-21 15:33:14	0	0	3	1.5
80	2018-07-21 15:33:14	0	3	2	2.5
79	2018-07-21 15:33:13	0	3	2	2.5
78	2018-07-21 15:33:12	0	3	1	2.0
77	2018-07-21 15:33:12	0	3	2	2.5
76	2018-07-21 15:33:11	0	3	1	2.0
75	2018-07-21 15:33:10	0	3	4	3.5
74	2018-07-21 15:33:10	0	3	4	3.5
73	2018-07-21 15:33:09	0	3	4	3.5
72	2018-07-21 15:33:09	0	3	2	2.5
71	2018-07-21 15:33:08	0	0	3	1.5
70	2018-07-21 15:33:07	0	0	2	1.0
69	2018-07-21 15:33:07	0	3	4	3.5
68	2018-07-21 15:33:06	0	3	2	2.5
67	2018-07-21 15:33:06	0	3	4	3.5
66	2018-07-21 15:33:05	0	3	2	2.5
65	2018-07-21 15:33:05	0	0	3	1.5
64	2018-07-21 15:33:04	0	3	2	2.5
63	2018-07-21 15:33:03	0	3	4	3.5
62	2018-07-21 15:33:03	0	3	4	3.5
61	2018-07-21 15:33:02	0	3	4	3.5
60	2018-07-21 15:33:02	0	0	3	1.5
59	2018-07-21 15:33:03	0	3	2	2.5
58	2018-07-21 15:33:03	0	3	4	3.5
57	2018-07-21 15:33:04	0	3	4	3.5
56	2018-07-21 15:33:04	0	3	4	3.5
55	2018-07-21 15:33:05	0	3	4	3.5
54	2018-07-21 15:33:06	0	3	1	2.0
53	2018-07-21 15:33:06	0	0	1	0.5
52	2018-07-21 15:33:07	0	0	4	2.0
51	2018-07-21 15:33:07	0	3	4	3.5
50	2018-07-21 15:33:08	0	3	1	2.0
49	2018-07-21 15:33:08	0	2	4	3.0
48	2018-07-21 15:33:09	0	3	4	3.5
47	2018-07-21 15:33:10	0	3	1	2.0
46	2018-07-21 15:33:10	0	3	4	3.5
45	2018-07-21 15:33:11	0	0	3	1.5
44	2018-07-21 15:33:11	0	3	1	2.0
43	2018-07-21 15:33:12	0	3	1	2.0
42	2018-07-21 15:33:13	0	0	4	2.0
41	2018-07-21 15:33:13	0	3	4	3.5
40	2018-07-21 15:33:14	0	0	3	1.5
39	2018-07-21 15:33:15	0	3	2	2.5
38	2018-07-21 15:33:15	0	0	3	1.5
37	2018-07-21 15:33:16	0	3	4	3.5
36	2018-07-21 15:33:17	0	0	3	1.5
35	2018-07-21 15:33:18	0	3	4	3.5
34	2018-07-21 15:33:18	0	3	4	3.5
33	2018-07-21 15:33:19	0	3	2	2.5
32	2018-07-21 15:33:19	0	0	1	0.5
31	2018-07-21 15:33:20	0	3	4	3.5
30	2018-07-21 15:33:21	0	3	1	2.0
29	2018-07-21 15:33:21	0	3	4	3.5
28	2018-07-21 15:33:22	0	3	2	2.5
27	2018-07-21 15:33:22	0	3	4	3.5
26	2018-07-21 15:33:24	0	3	2	2.5
25	2018-07-21 15:33:24	0	0	0	0.0
24	2018-07-21 15:33:25	0	3	1	2.0
23	2018-07-21 15:33:25	0	3	4	3.5
22	2018-07-21 15:33:26	0	0	3	1.5
21	2018-07-21 15:33:27	0	0	0	0.0
20	2018-07-21 15:33:27	0	0	4	2.0
19	2018-07-21 15:33:28	0	3	1	2.0
18	2018-07-21 15:33:28	0	3	2	2.5
