	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
121	2018-07-21 15:36:22	0	0	0	0.0
120	2018-07-21 15:36:22	0	3	1	2.0
119	2018-07-21 15:36:21	0	3	0	1.5
118	2018-07-21 15:36:20	0	3	0	1.5
117	2018-07-21 15:36:20	0	3	4	3.5
116	2018-07-21 15:36:19	0	3	1	2.0
115	2018-07-21 15:36:19	0	3	4	3.5
114	2018-07-21 15:36:18	0	3	4	3.5
113	2018-07-21 15:36:18	0	3	4	3.5
112	2018-07-21 15:36:17	0	3	4	3.5
111	2018-07-21 15:36:16	0	3	4	3.5
110	2018-07-21 15:36:16	0	3	0	1.5
109	2018-07-21 15:36:15	0	3	4	3.5
108	2018-07-21 15:36:14	0	3	4	3.5
107	2018-07-21 15:36:14	0	3	4	3.5
106	2018-07-21 15:36:13	0	3	1	2.0
105	2018-07-21 15:36:13	0	0	0	0.0
104	2018-07-21 15:36:12	0	3	1	2.0
103	2018-07-21 15:36:11	0	3	4	3.5
102	2018-07-21 15:36:11	0	3	4	3.5
101	2018-07-21 15:36:10	0	3	4	3.5
100	2018-07-21 15:36:10	0	3	1	2.0
99	2018-07-21 15:36:09	0	3	4	3.5
98	2018-07-21 15:36:08	0	3	4	3.5
97	2018-07-21 15:36:08	0	3	4	3.5
96	2018-07-21 15:36:07	0	3	4	3.5
95	2018-07-21 15:36:07	0	3	0	1.5
94	2018-07-21 15:36:06	0	3	0	1.5
93	2018-07-21 15:36:05	0	3	4	3.5
92	2018-07-21 15:36:05	0	3	4	3.5
91	2018-07-21 15:36:04	0	3	1	2.0
90	2018-07-21 15:36:03	0	3	4	3.5
89	2018-07-21 15:36:03	0	3	4	3.5
88	2018-07-21 15:36:02	0	3	4	3.5
87	2018-07-21 15:36:02	0	3	4	3.5
86	2018-07-21 15:36:01	0	3	1	2.0
85	2018-07-21 15:36:01	0	3	4	3.5
84	2018-07-21 15:36:00	0	3	0	1.5
83	2018-07-21 15:35:59	0	3	4	3.5
82	2018-07-21 15:35:59	0	3	0	1.5
81	2018-07-21 15:35:58	0	3	4	3.5
80	2018-07-21 15:35:58	0	3	4	3.5
79	2018-07-21 15:35:57	0	3	0	1.5
78	2018-07-21 15:35:56	0	3	4	3.5
77	2018-07-21 15:35:56	0	3	0	1.5
76	2018-07-21 15:35:55	0	3	1	2.0
