	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
101	2018-07-21 17:02:23	4	4	4	4.0
100	2018-07-21 17:02:20	4	3	3	3.0
99	2018-07-21 17:02:17	4	3	3	3.0
98	2018-07-21 17:02:14	4	4	3	3.5
97	2018-07-21 17:02:11	4	4	4	4.0
96	2018-07-21 17:02:09	4	4	3	3.5
95	2018-07-21 17:02:06	4	3	3	3.0
94	2018-07-21 17:02:03	4	4	3	3.5
93	2018-07-21 17:02:00	4	3	3	3.0
92	2018-07-21 17:01:57	4	4	3	3.5
91	2018-07-21 17:01:55	4	3	3	3.0
90	2018-07-21 17:01:52	4	4	3	3.5
89	2018-07-21 17:01:49	4	4	3	3.5
88	2018-07-21 17:01:46	4	3	3	3.0
87	2018-07-21 17:01:43	4	4	3	3.5
86	2018-07-21 17:01:41	4	4	1	2.5
85	2018-07-21 17:01:38	4	4	4	4.0
84	2018-07-21 17:01:35	4	4	3	3.5
83	2018-07-21 17:01:32	4	3	3	3.0
82	2018-07-21 17:01:30	4	4	3	3.5
81	2018-07-21 17:01:27	4	3	3	3.0
80	2018-07-21 17:01:24	4	3	3	3.0
79	2018-07-21 17:01:21	4	3	3	3.0
78	2018-07-21 17:01:19	4	3	3	3.0
77	2018-07-21 17:01:16	4	3	3	3.0
76	2018-07-21 17:01:13	4	3	3	3.0
75	2018-07-21 17:01:10	4	3	3	3.0
74	2018-07-21 17:01:08	4	3	3	3.0
73	2018-07-21 17:01:05	4	3	3	3.0
72	2018-07-21 17:01:02	4	3	3	3.0
71	2018-07-21 17:00:59	4	3	4	3.5
70	2018-07-21 17:00:57	4	4	3	3.5
69	2018-07-21 17:00:54	4	3	4	3.5
68	2018-07-21 17:00:51	4	3	3	3.0
67	2018-07-21 17:00:48	4	3	3	3.0
66	2018-07-21 17:00:45	4	3	3	3.0
65	2018-07-21 17:00:43	4	3	3	3.0
64	2018-07-21 17:00:40	4	3	3	3.0
63	2018-07-21 17:00:37	4	4	3	3.5
62	2018-07-21 17:00:34	4	3	3	3.0
61	2018-07-21 17:00:32	4	3	3	3.0
60	2018-07-21 17:00:29	4	3	3	3.0
59	2018-07-21 17:00:26	4	3	3	3.0
58	2018-07-21 17:00:23	4	3	3	3.0
57	2018-07-21 17:00:21	4	0	1	0.5
56	2018-07-21 17:00:18	4	0	0	0.0
55	2018-07-21 17:00:15	4	0	0	0.0
54	2018-07-21 17:00:13	4	0	0	0.0
53	2018-07-21 17:00:10	4	0	1	0.5
52	2018-07-21 17:00:08	4	0	2	1.0
51	2018-07-21 17:00:05	4	4	3	3.5
50	2018-07-21 17:00:04	4	4	3	3.5
49	2018-07-21 17:00:06	4	0	1	0.5
48	2018-07-21 17:00:09	4	4	3	3.5
47	2018-07-21 17:00:11	4	0	0	0.0
46	2018-07-21 17:00:14	4	3	3	3.0
45	2018-07-21 17:00:17	4	4	3	3.5
44	2018-07-21 17:00:19	4	3	3	3.0
43	2018-07-21 17:00:22	4	3	3	3.0
42	2018-07-21 17:00:25	4	3	3	3.0
41	2018-07-21 17:00:27	4	3	3	3.0
40	2018-07-21 17:00:30	4	3	3	3.0
39	2018-07-21 17:00:33	4	3	3	3.0
38	2018-07-21 17:00:36	4	3	3	3.0
37	2018-07-21 17:00:38	4	4	3	3.5
36	2018-07-21 17:00:41	4	4	3	3.5
35	2018-07-21 17:00:44	4	4	3	3.5
34	2018-07-21 17:00:47	4	3	3	3.0
33	2018-07-21 17:00:50	4	4	3	3.5
32	2018-07-21 17:00:52	4	4	4	4.0
31	2018-07-21 17:00:55	4	3	4	3.5
30	2018-07-21 17:00:58	4	3	3	3.0
29	2018-07-21 17:01:01	4	3	3	3.0
28	2018-07-21 17:01:03	4	3	3	3.0
27	2018-07-21 17:01:06	4	3	3	3.0
26	2018-07-21 17:01:09	4	3	3	3.0
25	2018-07-21 17:01:12	4	3	4	3.5
24	2018-07-21 17:01:14	4	3	3	3.0
23	2018-07-21 17:01:17	4	3	3	3.0
22	2018-07-21 17:01:20	4	4	3	3.5
21	2018-07-21 17:01:23	4	3	3	3.0
20	2018-07-21 17:01:26	4	3	3	3.0
19	2018-07-21 17:01:28	4	4	3	3.5
18	2018-07-21 17:01:31	4	3	3	3.0
17	2018-07-21 17:01:34	4	3	3	3.0
16	2018-07-21 17:01:37	4	3	3	3.0
15	2018-07-21 17:01:39	4	4	4	4.0
14	2018-07-21 17:01:42	4	4	3	3.5
13	2018-07-21 17:01:45	4	4	3	3.5
12	2018-07-21 17:01:48	4	4	3	3.5
11	2018-07-21 17:01:51	4	4	3	3.5
10	2018-07-21 17:01:53	4	4	3	3.5
9	2018-07-21 17:01:56	4	3	3	3.0
8	2018-07-21 17:01:59	4	3	3	3.0
7	2018-07-21 17:02:02	4	4	3	3.5
6	2018-07-21 17:02:04	4	3	3	3.0
5	2018-07-21 17:02:07	4	4	3	3.5
4	2018-07-21 17:02:10	4	4	3	3.5
3	2018-07-21 17:02:13	4	4	3	3.5
2	2018-07-21 17:02:16	4	3	3	3.0
1	2018-07-21 17:02:18	4	3	3	3.0
0	2018-07-21 17:02:21	4	3	4	3.5
