	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
201	2018-07-21 17:15:11	3	3	4	3.5
200	2018-07-21 17:15:08	3	3	4	3.5
199	2018-07-21 17:15:05	3	3	1	2.0
198	2018-07-21 17:15:03	3	3	1	2.0
197	2018-07-21 17:15:00	3	3	1	2.0
196	2018-07-21 17:14:57	3	3	1	2.0
195	2018-07-21 17:14:54	3	3	4	3.5
194	2018-07-21 17:14:51	3	3	1	2.0
193	2018-07-21 17:14:48	3	3	1	2.0
192	2018-07-21 17:14:46	3	3	3	3.0
191	2018-07-21 17:14:43	3	3	3	3.0
190	2018-07-21 17:14:40	3	3	3	3.0
189	2018-07-21 17:14:37	3	3	1	2.0
188	2018-07-21 17:14:34	3	3	4	3.5
187	2018-07-21 17:14:32	3	4	1	2.5
186	2018-07-21 17:14:29	3	3	4	3.5
185	2018-07-21 17:14:26	3	3	3	3.0
184	2018-07-21 17:14:23	3	3	4	3.5
183	2018-07-21 17:14:20	3	3	4	3.5
182	2018-07-21 17:14:17	3	4	1	2.5
181	2018-07-21 17:14:15	3	3	4	3.5
180	2018-07-21 17:14:12	3	3	4	3.5
179	2018-07-21 17:14:09	3	3	1	2.0
178	2018-07-21 17:14:06	3	3	4	3.5
177	2018-07-21 17:14:03	3	3	1	2.0
176	2018-07-21 17:14:01	3	3	1	2.0
175	2018-07-21 17:13:58	3	3	1	2.0
174	2018-07-21 17:13:55	3	3	1	2.0
173	2018-07-21 17:13:52	3	3	1	2.0
172	2018-07-21 17:13:49	3	3	1	2.0
171	2018-07-21 17:13:46	3	3	1	2.0
170	2018-07-21 17:13:44	3	3	4	3.5
169	2018-07-21 17:13:41	3	3	4	3.5
168	2018-07-21 17:13:38	3	3	3	3.0
167	2018-07-21 17:13:35	3	3	1	2.0
166	2018-07-21 17:13:32	3	4	4	4.0
165	2018-07-21 17:13:30	3	3	1	2.0
164	2018-07-21 17:13:27	3	3	3	3.0
163	2018-07-21 17:13:24	3	3	4	3.5
162	2018-07-21 17:13:21	3	3	4	3.5
161	2018-07-21 17:13:18	3	3	3	3.0
160	2018-07-21 17:13:16	3	3	1	2.0
159	2018-07-21 17:13:13	3	3	4	3.5
158	2018-07-21 17:13:10	3	0	1	0.5
157	2018-07-21 17:13:07	3	3	3	3.0
156	2018-07-21 17:13:05	3	3	4	3.5
155	2018-07-21 17:13:02	3	4	1	2.5
154	2018-07-21 17:12:59	3	3	4	3.5
153	2018-07-21 17:12:56	3	3	4	3.5
152	2018-07-21 17:12:53	3	3	1	2.0
151	2018-07-21 17:12:51	3	3	3	3.0
150	2018-07-21 17:12:48	3	3	1	2.0
149	2018-07-21 17:12:45	3	3	1	2.0
148	2018-07-21 17:12:42	3	3	1	2.0
147	2018-07-21 17:12:39	3	3	4	3.5
146	2018-07-21 17:12:37	3	3	1	2.0
145	2018-07-21 17:12:34	3	3	3	3.0
144	2018-07-21 17:12:31	3	3	1	2.0
143	2018-07-21 17:12:28	3	3	4	3.5
142	2018-07-21 17:12:26	3	3	1	2.0
141	2018-07-21 17:12:23	3	3	1	2.0
140	2018-07-21 17:12:20	3	3	1	2.0
139	2018-07-21 17:12:17	3	3	1	2.0
138	2018-07-21 17:12:14	3	3	1	2.0
137	2018-07-21 17:12:12	3	3	1	2.0
136	2018-07-21 17:12:09	3	3	1	2.0
135	2018-07-21 17:12:06	3	3	1	2.0
134	2018-07-21 17:12:03	3	3	1	2.0
133	2018-07-21 17:12:00	3	3	1	2.0
132	2018-07-21 17:11:58	3	3	4	3.5
131	2018-07-21 17:11:55	3	3	1	2.0
130	2018-07-21 17:11:52	3	3	1	2.0
129	2018-07-21 17:11:49	3	3	3	3.0
128	2018-07-21 17:11:46	3	3	1	2.0
127	2018-07-21 17:11:44	3	3	1	2.0
126	2018-07-21 17:11:41	3	3	3	3.0
125	2018-07-21 17:11:38	3	3	3	3.0
124	2018-07-21 17:11:35	3	3	3	3.0
123	2018-07-21 17:11:32	3	3	1	2.0
122	2018-07-21 17:11:30	3	3	1	2.0
121	2018-07-21 17:11:27	3	3	1	2.0
120	2018-07-21 17:11:24	3	3	1	2.0
119	2018-07-21 17:11:21	3	3	3	3.0
118	2018-07-21 17:11:19	3	3	1	2.0
117	2018-07-21 17:11:16	3	3	1	2.0
116	2018-07-21 17:11:13	3	3	1	2.0
115	2018-07-21 17:11:10	3	3	1	2.0
114	2018-07-21 17:11:08	3	3	3	3.0
113	2018-07-21 17:11:05	3	3	1	2.0
112	2018-07-21 17:11:02	3	3	1	2.0
111	2018-07-21 17:10:59	3	3	1	2.0
110	2018-07-21 17:10:57	3	3	1	2.0
109	2018-07-21 17:10:54	3	3	1	2.0
108	2018-07-21 17:10:51	3	3	1	2.0
107	2018-07-21 17:10:48	3	0	1	0.5
106	2018-07-21 17:10:46	3	3	0	1.5
105	2018-07-21 17:10:43	3	0	0	0.0
104	2018-07-21 17:10:41	3	0	2	1.0
103	2018-07-21 17:10:38	3	0	0	0.0
102	2018-07-21 17:10:36	3	3	1	2.0
101	2018-07-21 17:10:33	3	3	3	3.0
100	2018-07-21 17:10:32	3	0	0	0.0
99	2018-07-21 17:10:34	3	0	0	0.0
98	2018-07-21 17:10:37	3	3	1	2.0
97	2018-07-21 17:10:39	3	3	1	2.0
96	2018-07-21 17:10:42	3	0	1	0.5
95	2018-07-21 17:10:44	3	3	1	2.0
94	2018-07-21 17:10:47	3	3	1	2.0
93	2018-07-21 17:10:50	3	3	3	3.0
92	2018-07-21 17:10:53	3	3	1	2.0
91	2018-07-21 17:10:55	3	3	1	2.0
90	2018-07-21 17:10:58	3	3	1	2.0
89	2018-07-21 17:11:01	3	3	3	3.0
88	2018-07-21 17:11:04	3	3	1	2.0
87	2018-07-21 17:11:06	3	3	1	2.0
86	2018-07-21 17:11:09	3	3	1	2.0
85	2018-07-21 17:11:12	3	3	1	2.0
84	2018-07-21 17:11:15	3	3	1	2.0
83	2018-07-21 17:11:17	3	3	3	3.0
82	2018-07-21 17:11:20	3	3	1	2.0
81	2018-07-21 17:11:23	3	3	1	2.0
80	2018-07-21 17:11:26	3	3	3	3.0
79	2018-07-21 17:11:28	3	3	1	2.0
78	2018-07-21 17:11:31	3	3	4	3.5
77	2018-07-21 17:11:34	3	3	1	2.0
76	2018-07-21 17:11:37	3	3	1	2.0
75	2018-07-21 17:11:39	3	3	1	2.0
74	2018-07-21 17:11:42	3	3	1	2.0
73	2018-07-21 17:11:45	3	3	1	2.0
72	2018-07-21 17:11:48	3	3	1	2.0
71	2018-07-21 17:11:51	3	3	0	1.5
70	2018-07-21 17:11:53	3	3	1	2.0
69	2018-07-21 17:11:56	3	3	1	2.0
68	2018-07-21 17:11:59	3	3	1	2.0
67	2018-07-21 17:12:02	3	3	1	2.0
66	2018-07-21 17:12:05	3	3	1	2.0
65	2018-07-21 17:12:07	3	3	1	2.0
64	2018-07-21 17:12:10	3	3	1	2.0
63	2018-07-21 17:12:13	3	3	3	3.0
62	2018-07-21 17:12:16	3	3	1	2.0
61	2018-07-21 17:12:19	3	3	1	2.0
60	2018-07-21 17:12:21	3	3	1	2.0
59	2018-07-21 17:12:24	3	3	3	3.0
58	2018-07-21 17:12:27	3	3	3	3.0
57	2018-07-21 17:12:30	3	3	1	2.0
56	2018-07-21 17:12:33	3	3	1	2.0
55	2018-07-21 17:12:35	3	3	4	3.5
54	2018-07-21 17:12:38	3	3	4	3.5
53	2018-07-21 17:12:41	3	3	1	2.0
52	2018-07-21 17:12:44	3	3	1	2.0
51	2018-07-21 17:12:46	3	3	1	2.0
50	2018-07-21 17:12:49	3	3	3	3.0
49	2018-07-21 17:12:52	3	3	4	3.5
48	2018-07-21 17:12:55	3	3	3	3.0
47	2018-07-21 17:12:58	3	3	4	3.5
46	2018-07-21 17:13:00	3	3	1	2.0
45	2018-07-21 17:13:03	3	3	4	3.5
44	2018-07-21 17:13:06	3	3	4	3.5
43	2018-07-21 17:13:09	3	3	3	3.0
42	2018-07-21 17:13:11	3	3	3	3.0
41	2018-07-21 17:13:14	3	3	1	2.0
40	2018-07-21 17:13:17	3	3	1	2.0
